ID;Name;Population;Region;Latitude;Longitude
729;Saarijärvi;8858;Keski-Suomi;62,7050975;25,2582688
732;Salla;3285;Lappi;66,8318774;28,6668631
734;Salo;50870;Varsinais-Suomi;60,3879158;23,1248694
736;Saltvik;1778;Åland;60,2755756;20,0612065
790;Sastamala;23464;Pirkanmaa;61,450048;22,8416609
738;Sauvo;2965;Varsinais-Suomi;60,3432104;22,6943202
739;Savitaipale;3188;Etelä-Karjala;61,1977254;27,6826503
740;Savonlinna;31460;Etelä-Savo;61,869874;28,880045
742;Savukoski;964;Lappi;67,2923114;28,1638772
743;Seinäjoki;66611;Etelä-Pohjanmaa;62,7906684;22,8398019
746;Sievi;4603;Pohjois-Pohjanmaa;63,9082625;24,5159868
747;Siikainen;1264;Satakunta;61,8766758;21,8217516
748;Siikajoki;4804;Pohjois-Pohjanmaa;64,7116869;24,978369
791;Siikalatva;4938;Pohjois-Pohjanmaa;64,3119466;26,0790042
749;Siilinjärvi;21269;Pohjois-Savo;63,0743109;27,6623456
751;Simo;2778;Lappi;65,662285;25,0638163
753;Sipoo;22826;Uusimaa;60,3767057;25,2686042
755;Siuntio;6182;Uusimaa;60,1389621;24,2265355
758;Sodankylä;8127;Lappi;67,4189716;26,5902179
759;Soini;1800;Etelä-Pohjanmaa;62,8738088;24,2076547
761;Somero;8429;Varsinais-Suomi;60,6299165;23,5139982
762;Sonkajärvi;3570;Pohjois-Savo;63,66907;27,5232488
765;Sotkamo;10185;Kainuu;64,1318262;28,3878316
766;Sottunga;101;Åland;60,13038;20,6668832
768;Sulkava;2361;Etelä-Savo;61,7879107;28,3724362
771;Sund;1001;Åland;60,2530332;20,1198637
777;Suomussalmi;7038;Kainuu;64,8847582;28,9145906
778;Suonenjoki;6632;Pohjois-Savo;62,6241926;27,1245609
781;Sysmä;3428;Päijät-Häme;61,5073697;25,6738915
783;Säkylä;6256;Satakunta;61,0460137;22,3430918
831;Taipalsaari;4596;Etelä-Karjala;61,1599368;28,0604215
832;Taivalkoski;3657;Pohjois-Pohjanmaa;65,5752942;28,2425866
833;Taivassalo;1692;Varsinais-Suomi;60,5619353;21,6132334
834;Tammela;5832;Kanta-Häme;60,8087874;23,7598248
837;Tampere;260180;Pirkanmaa;61,4977929;23,7616372
844;Tervo;1388;Pohjois-Savo;62,9563657;26,7604718
845;Tervola;2826;Lappi;66,0822914;24,8058841
846;Teuva;4662;Etelä-Pohjanmaa;62,4869027;21,7460027
848;Tohmajärvi;3976;Pohjois-Karjala;62,2259448;30,3335512
849;Toholampi;2799;Keski-Pohjanmaa;63,7726231;24,251545
850;Toivakka;2349;Keski-Suomi;62,0962173;26,0804935
851;Tornio;20959;Lappi;65,8457589;24,1464
853;Turku;206073;Varsinais-Suomi;60,4515944;22,2669983
857;Tuusniemi;2311;Pohjois-Savo;62,8129715;28,473989
858;Tuusula;42225;Uusimaa;60,4017496;25,0280695
859;Tyrnävä;6501;Pohjois-Pohjanmaa;64,7621368;25,6498871
886;Ulvila;12382;Satakunta;61,4333298;21,8833199
887;Urjala;4493;Pirkanmaa;61,0811504;23,5489697
889;Utajärvi;2466;Pohjois-Pohjanmaa;64,7613984;26,416907
890;Utsjoki;1137;Lappi;69,907601;27,0252458
892;Uurainen;3657;Keski-Suomi;62,5007704;25,4379608
893;Uusikaarlepyy;7439;Österbotten;63,5222473;22,5284347
895;Uusikaupunki;14814;Varsinais-Suomi;60,8016507;21,4086143
785;Vaala;2581;Pohjois-Pohjanmaa;64,5565274;26,8466518
905;Vaasa;70361;Österbotten;63,0957722;21,6159187
908;Valkeakoski;20847;Pirkanmaa;61,2637921;24,0301278
92;Vantaa;251269;Uusimaa;60,292997;25,0435254
915;Varkaus;19669;Pohjois-Savo;62,3151698;27,8748346
918;Vehmaa;2246;Varsinais-Suomi;60,6866474;21,7152608
921;Vesanto;1851;Pohjois-Savo;62,9302543;26,4089399
922;Vesilahti;4511;Pirkanmaa;61,2970187;23,6388138
924;Veteli;2931;Keski-Pohjanmaa;63,4719205;23,792566
925;Vieremä;3352;Pohjois-Savo;63,75;27,016667
927;Vihti;28799;Uusimaa;60,4168803;24,320558
931;Viitasaari;5764;Keski-Suomi;63,0837203;25,8528349
